"","Country","Year","Indicator","RCode","Region","CCode","Male","Female","Both_Sexes"
"94","Bahrain",2015,"Life expectancy at birth (years)","EMR","Eastern Mediterranean","BHR",75.87,77.27,76.46
"95","Bahrain",2019,"Life expectancy at age 60 (years)","EMR","Eastern Mediterranean","BHR",18.72,19.36,19.01
"96","Bahrain",2019,"Life expectancy at birth (years)","EMR","Eastern Mediterranean","BHR",75.04,77.02,75.81
"97","Bangladesh",2000,"Life expectancy at age 60 (years)","SEAR","South-East Asia","BGD",17.11,18.7,17.84
"98","Bangladesh",2000,"Life expectancy at birth (years)","SEAR","South-East Asia","BGD",64.07,67.36,65.59
"99","Bangladesh",2010,"Life expectancy at age 60 (years)","SEAR","South-East Asia","BGD",18.06,20.14,19.02
"100","Bangladesh",2010,"Life expectancy at birth (years)","SEAR","South-East Asia","BGD",68.63,72.22,70.29
"101","Bangladesh",2015,"Life expectancy at age 60 (years)","SEAR","South-East Asia","BGD",20.49,21.37,20.9
"102","Bangladesh",2015,"Life expectancy at birth (years)","SEAR","South-East Asia","BGD",72.5,74.79,73.58
"103","Bangladesh",2019,"Life expectancy at age 60 (years)","SEAR","South-East Asia","BGD",20.26,21.53,20.86
"104","Bangladesh",2019,"Life expectancy at birth (years)","SEAR","South-East Asia","BGD",72.99,75.64,74.25
"105","Barbados",2000,"Life expectancy at age 60 (years)","AMR","Americas","BRB",19.69,21.52,20.72
"106","Barbados",2000,"Life expectancy at birth (years)","AMR","Americas","BRB",72.13,76.72,74.5
"107","Barbados",2010,"Life expectancy at age 60 (years)","AMR","Americas","BRB",20.81,21.69,21.3
"108","Barbados",2010,"Life expectancy at birth (years)","AMR","Americas","BRB",74.46,77.2,75.88
"109","Barbados",2015,"Life expectancy at age 60 (years)","AMR","Americas","BRB",21.01,21.72,21.4
"110","Barbados",2015,"Life expectancy at birth (years)","AMR","Americas","BRB",75.01,77.36,76.22
"111","Barbados",2019,"Life expectancy at age 60 (years)","AMR","Americas","BRB",19.94,21.79,20.92
"112","Barbados",2019,"Life expectancy at birth (years)","AMR","Americas","BRB",74.32,77.66,76.03
"113","Belarus",2000,"Life expectancy at age 60 (years)","EUR","Europe","BLR",14.07,19.45,17.15
"114","Belarus",2000,"Life expectancy at birth (years)","EUR","Europe","BLR",63.28,74.61,68.85
"115","Belarus",2010,"Life expectancy at age 60 (years)","EUR","Europe","BLR",14.14,20.51,17.72
"116","Belarus",2010,"Life expectancy at birth (years)","EUR","Europe","BLR",64.55,76.41,70.39
"117","Belarus",2015,"Life expectancy at age 60 (years)","EUR","Europe","BLR",15.67,21.87,19.23
"118","Belarus",2015,"Life expectancy at birth (years)","EUR","Europe","BLR",68.56,78.79,73.82
"119","Belarus",2019,"Life expectancy at age 60 (years)","EUR","Europe","BLR",16.04,22.48,19.72
"120","Belarus",2019,"Life expectancy at birth (years)","EUR","Europe","BLR",69.65,79.62,74.81
"121","Belgium",2000,"Life expectancy at age 60 (years)","EUR","Europe","BEL",19.31,23.69,21.63
"122","Belgium",2000,"Life expectancy at birth (years)","EUR","Europe","BEL",74.54,80.74,77.66
"123","Belgium",2010,"Life expectancy at age 60 (years)","EUR","Europe","BEL",21.12,24.88,23.11
"124","Belgium",2010,"Life expectancy at birth (years)","EUR","Europe","BEL",77.24,82.38,79.85
"125","Belgium",2015,"Life expectancy at age 60 (years)","EUR","Europe","BEL",21.85,25.15,23.59
"126","Belgium",2015,"Life expectancy at birth (years)","EUR","Europe","BEL",78.48,82.86,80.71
"127","Belgium",2019,"Life expectancy at age 60 (years)","EUR","Europe","BEL",22.33,25.58,24.02
"128","Belgium",2019,"Life expectancy at birth (years)","EUR","Europe","BEL",79.29,83.51,81.42
"129","Belize",2000,"Life expectancy at age 60 (years)","AMR","Americas","BLZ",17.02,20.73,18.74
"130","Belize",2000,"Life expectancy at birth (years)","AMR","Americas","BLZ",67.18,74.02,70.34
"131","Belize",2010,"Life expectancy at age 60 (years)","AMR","Americas","BLZ",20.56,22.15,21.3
"132","Belize",2010,"Life expectancy at birth (years)","AMR","Americas","BLZ",70.89,76.12,73.39
"133","Belize",2015,"Life expectancy at age 60 (years)","AMR","Americas","BLZ",20.4,22.75,21.47
"134","Belize",2015,"Life expectancy at birth (years)","AMR","Americas","BLZ",71.14,77.29,74.05
"135","Belize",2019,"Life expectancy at age 60 (years)","AMR","Americas","BLZ",20.32,22.93,21.53
"136","Belize",2019,"Life expectancy at birth (years)","AMR","Americas","BLZ",71.36,77.77,74.41
"137","Benin",2000,"Life expectancy at age 60 (years)","AFR","Africa","BEN",14.49,17.41,16.08
"138","Benin",2000,"Life expectancy at birth (years)","AFR","Africa","BEN",54.31,58.77,56.59
"139","Benin",2010,"Life expectancy at age 60 (years)","AFR","Africa","BEN",15.16,17.97,16.69
"140","Benin",2010,"Life expectancy at birth (years)","AFR","Africa","BEN",58.03,62.88,60.47
"141","Benin",2015,"Life expectancy at age 60 (years)","AFR","Africa","BEN",15.62,18.21,17.01
"142","Benin",2015,"Life expectancy at birth (years)","AFR","Africa","BEN",59.66,64.25,61.96
"143","Benin",2019,"Life expectancy at age 60 (years)","AFR","Africa","BEN",16.13,18.52,17.4
"144","Benin",2019,"Life expectancy at birth (years)","AFR","Africa","BEN",61.19,65.66,63.43
"145","Bhutan",2000,"Life expectancy at age 60 (years)","SEAR","South-East Asia","BTN",17.71,18.23,17.95
"146","Bhutan",2000,"Life expectancy at birth (years)","SEAR","South-East Asia","BTN",64.88,66.59,65.7
"147","Bhutan",2010,"Life expectancy at age 60 (years)","SEAR","South-East Asia","BTN",18.42,19.48,18.89
"148","Bhutan",2010,"Life expectancy at birth (years)","SEAR","South-East Asia","BTN",69.87,72.35,71.01
"149","Bhutan",2015,"Life expectancy at age 60 (years)","SEAR","South-East Asia","BTN",18.72,19.72,19.16
"150","Bhutan",2015,"Life expectancy at birth (years)","SEAR","South-East Asia","BTN",71.05,73.45,72.15
"151","Bhutan",2019,"Life expectancy at age 60 (years)","SEAR","South-East Asia","BTN",18.89,19.95,19.36
"152","Bhutan",2019,"Life expectancy at birth (years)","SEAR","South-East Asia","BTN",72.03,74.39,73.11
"153","Bolivia (Plurinational State of)",2000,"Life expectancy at age 60 (years)","AMR","Americas","BOL",17.19,18.36,17.8
"154","Bolivia (Plurinational State of)",2000,"Life expectancy at birth (years)","AMR","Americas","BOL",64.81,67.25,66.02
"155","Bolivia (Plurinational State of)",2010,"Life expectancy at age 60 (years)","AMR","Americas","BOL",18.16,18.87,18.53
"156","Bolivia (Plurinational State of)",2010,"Life expectancy at birth (years)","AMR","Americas","BOL",69.44,71.25,70.34
"157","Bolivia (Plurinational State of)",2015,"Life expectancy at age 60 (years)","AMR","Americas","BOL",18.07,18.91,18.51
"158","Bolivia (Plurinational State of)",2015,"Life expectancy at birth (years)","AMR","Americas","BOL",70.59,72.45,71.52
"159","Bolivia (Plurinational State of)",2019,"Life expectancy at age 60 (years)","AMR","Americas","BOL",18.04,19.06,18.56
"160","Bolivia (Plurinational State of)",2019,"Life expectancy at birth (years)","AMR","Americas","BOL",71.15,73.13,72.14
"161","Bosnia and Herzegovina",2000,"Life expectancy at age 60 (years)","EUR","Europe","BIH",17.68,21.1,19.58
"162","Bosnia and Herzegovina",2000,"Life expectancy at birth (years)","EUR","Europe","BIH",72.6,78.03,75.42
"163","Bosnia and Herzegovina",2010,"Life expectancy at age 60 (years)","EUR","Europe","BIH",18.22,21.03,19.73
"164","Bosnia and Herzegovina",2010,"Life expectancy at birth (years)","EUR","Europe","BIH",73.85,78.47,76.19
"165","Bosnia and Herzegovina",2015,"Life expectancy at age 60 (years)","EUR","Europe","BIH",18.27,21.25,19.85
"166","Bosnia and Herzegovina",2015,"Life expectancy at birth (years)","EUR","Europe","BIH",73.94,78.65,76.32
"167","Bosnia and Herzegovina",2019,"Life expectancy at age 60 (years)","EUR","Europe","BIH",18.59,21.56,20.16
"168","Bosnia and Herzegovina",2019,"Life expectancy at birth (years)","EUR","Europe","BIH",74.38,79.09,76.75
"169","Botswana",2000,"Life expectancy at age 60 (years)","AFR","Africa","BWA",10.39,15.82,12.92
"170","Botswana",2000,"Life expectancy at birth (years)","AFR","Africa","BWA",43.9,47.77,45.59
"171","Botswana",2010,"Life expectancy at age 60 (years)","AFR","Africa","BWA",13.06,17.32,15.26
"172","Botswana",2010,"Life expectancy at birth (years)","AFR","Africa","BWA",55.14,61.36,58.14
"173","Botswana",2015,"Life expectancy at age 60 (years)","AFR","Africa","BWA",13.89,17.61,15.89
"174","Botswana",2015,"Life expectancy at birth (years)","AFR","Africa","BWA",57.83,63.93,60.93
"175","Botswana",2019,"Life expectancy at age 60 (years)","AFR","Africa","BWA",14.16,17.97,16.25
"176","Botswana",2019,"Life expectancy at birth (years)","AFR","Africa","BWA",58.95,65.46,62.25
"177","Brazil",2000,"Life expectancy at age 60 (years)","AMR","Americas","BRA",17.96,21.31,19.7
"178","Brazil",2000,"Life expectancy at birth (years)","AMR","Americas","BRA",67.9,75.18,71.47
"179","Brazil",2010,"Life expectancy at age 60 (years)","AMR","Americas","BRA",19.02,22.42,20.81
"180","Brazil",2010,"Life expectancy at birth (years)","AMR","Americas","BRA",70.57,77.68,74.09
"181","Brazil",2015,"Life expectancy at age 60 (years)","AMR","Americas","BRA",19.65,23,21.42
"182","Brazil",2015,"Life expectancy at birth (years)","AMR","Americas","BRA",71.67,78.64,75.13
"183","Brazil",2019,"Life expectancy at age 60 (years)","AMR","Americas","BRA",20.09,23.51,21.9
"184","Brazil",2019,"Life expectancy at birth (years)","AMR","Americas","BRA",72.45,79.39,75.9
"185","Brunei Darussalam",2000,"Life expectancy at age 60 (years)","WPR","Western Pacific","BRN",16.21,17.41,16.78
"186","Brunei Darussalam",2000,"Life expectancy at birth (years)","WPR","Western Pacific","BRN",70.86,73.68,72.2
"187","Brunei Darussalam",2010,"Life expectancy at age 60 (years)","WPR","Western Pacific","BRN",18.41,19.56,19
"188","Brunei Darussalam",2010,"Life expectancy at birth (years)","WPR","Western Pacific","BRN",73.35,75.84,74.57
"189","Brunei Darussalam",2015,"Life expectancy at age 60 (years)","WPR","Western Pacific","BRN",18.67,19.36,19.03
"190","Brunei Darussalam",2015,"Life expectancy at birth (years)","WPR","Western Pacific","BRN",73.38,75.5,74.4
